EventID,EventType,StartDateTime,EndDateTime,EnteredOn,EventAgency,ParkingHeld,Borough,CommunityBoard(s),PolicePrecinct(s),Category,SubCategoryName,Country,ZipCode(s)
456728,Shooting Permit,12/20/2018 06:00:00 AM,12/20/2018 08:00:00 PM,12/17/2018 01:02:06 PM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   57 STREET between 11 AVENUE and WEST SIDE HIGHWAY,  58 STREET between 11 AVENUE and 12 AVENUE",Manhattan,"12, 4","18, 66",Commercial,Commercial,United States of America,"10019, 11219"
456727,Shooting Permit,12/19/2018 06:00:00 AM,12/19/2018 08:00:00 PM,12/17/2018 01:02:06 PM,"Mayor's Office of Film, Theatre & Broadcasting","WEBSTER AVENUE between BEDFORD PARK BOULEVARD and BOTANICAL SQUARE SOUTH,  WEBSTER AVENUE between BEDFORD PARK BOULEVARD and BOTANICAL SQUARE NORTH,  BOTANCIAL SQUARE SOUTH between WEBSTER AVE and BOTANICAL SQUARE",Bronx,7,52,Commercial,Commercial,United States of America,10458
456711,Shooting Permit,12/20/2018 10:00:00 AM,12/20/2018 11:00:00 PM,12/17/2018 12:15:08 PM,"Mayor's Office of Film, Theatre & Broadcasting","VERNON BOULEVARD between QUEENS PLAZA SOUTH and 41 AVENUE,  VERNON BOULEVARD between QUEENS PLAZA SOUTH and 41 AVENUE,  VERNON BOULEVARD between 40 AVENUE and 41 AVENUE,  QUEENS PLAZA SOUTH between 21 STREET and 22 STREET,  22 STREET between QUEENS PLAZA SOUTH and 43 AVENUE",Queens,"1, 2","108, 114",Television,Episodic series,United States of America,11101
456704,Shooting Permit,12/21/2018 06:00:00 AM,12/21/2018 10:00:00 PM,12/17/2018 12:02:30 PM,"Mayor's Office of Film, Theatre & Broadcasting","35 STREET between 34 AVENUE and 35 AVENUE,  35 AVENUE between 35 STREET and 36 STREET",Queens,1,114,Television,Cable-episodic,United States of America,11106
456694,Shooting Permit,12/20/2018 07:00:00 AM,12/20/2018 10:00:00 PM,12/17/2018 11:43:49 AM,"Mayor's Office of Film, Theatre & Broadcasting","EAST   26 STREET between PARK AVENUE SOUTH and MADISON AVENUE,  PARK AVENUE SOUTH between EAST   26 STREET and EAST   27 STREET,  PARK AVENUE SOUTH between EAST   26 STREET and EAST   30 STREET,  EAST   28 STREET between PARK AVENUE SOUTH and LEXINGTON AVENUE,  EAST   29 STREET between PARK AVENUE SOUTH and LEXINGTON AVENUE,  LEXINGTON AVENUE between EAST   28 STREET and EAST   29 STREET,  LEXINGTON AVENUE between EAST   29 STREET and EAST   30 STREET",Manhattan,"5, 6","13, 14",Television,Cable-episodic,United States of America,"10010, 10016"
456693,Shooting Permit,12/19/2018 06:00:00 AM,12/19/2018 10:00:00 PM,12/17/2018 11:43:26 AM,"Mayor's Office of Film, Theatre & Broadcasting","35 STREET between 34 AVENUE and 35 AVENUE,  35 AVENUE between 35 STREET and 36 STREET",Queens,1,114,Television,Cable-episodic,United States of America,11106
456692,Shooting Permit,12/20/2018 09:00:00 AM,12/21/2018 02:00:00 AM,12/17/2018 11:42:52 AM,"Mayor's Office of Film, Theatre & Broadcasting","WEST STREET between FREEMAN STREET and EAGLE STREET,  EAGLE STREET between WEST STREET and FRANKLIN STREET",Brooklyn,1,94,Television,Episodic series,United States of America,11222
456653,Shooting Permit,12/19/2018 10:00:00 AM,12/20/2018 01:00:00 AM,12/17/2018 10:07:17 AM,"Mayor's Office of Film, Theatre & Broadcasting","MERMAID AVENUE between WEST   29 STREET and WEST   25 STREET,  MERMAID AVENUE between WEST   29 STREET and WEST   28 STREET,  WEST   28 STREET between NEPTUNE AVENUE and MERMAID AVENUE,  WEST   28 STREET between MERMAID AVENUE and SURF AVENUE,  WEST   29 STREET between NEPTUNE AVENUE and MERMAID AVENUE,  NEPTUNE AVENUE between WEST   31 STREET and WEST   28 STREET,  BAYVIEW AVENUE between NEPTUNE AVENUE and WEST   33 STREET,  SURF AVENUE between STILLWELL AVENUE and WEST   10 STREET,  STILLWELL AVENUE between SURF AVENUE and DEAD END,  W 12TH ST between SURF AVENUE and DEAD END,  Bowery St between W 12th St and Ruby Jacobs Walk",Brooklyn,13,60,Television,Episodic series,United States of America,"11223, 11224"
456651,Theater Load in and Load Outs,12/20/2018 12:01:00 AM,12/21/2018 06:00:00 AM,12/17/2018 09:58:34 AM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   43 STREET between BROADWAY and 6 AVENUE,Manhattan,5,14,Theater,Theater,United States of America,10036
456638,Shooting Permit,12/19/2018 07:00:00 AM,12/19/2018 08:00:00 PM,12/17/2018 09:07:46 AM,"Mayor's Office of Film, Theatre & Broadcasting","BROOME STREET between FORSYTH STREET and ELDRIDGE STREET,  FORSYTH STREET between GRAND STREET and DELANCEY STREET,  FORSYTH STREET between GRAND STREET and HESTER STREET,  GRAND STREET between FORSYTH STREET and CHRYSTIE STREET",Manhattan,3,5,Television,Episodic series,United States of America,10002
456513,Shooting Permit,12/18/2018 06:15:00 AM,12/18/2018 11:15:00 AM,12/14/2018 06:33:02 PM,"Mayor's Office of Film, Theatre & Broadcasting",VAN DYKE STREET between FERRIS STREET and DEAD END,Brooklyn,6,76,Still Photography,Not Applicable,United States of America,11231
456512,Shooting Permit,12/19/2018 08:00:00 AM,12/20/2018 01:00:00 AM,12/14/2018 06:27:24 PM,"Mayor's Office of Film, Theatre & Broadcasting",VANDERBILT AVENUE between TALBOT PLACE and BAY STREET,Staten Island,1,120,Television,Episodic series,United States of America,10304
456479,Shooting Permit,12/19/2018 07:00:00 AM,12/19/2018 11:00:00 PM,12/14/2018 02:47:05 PM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   80 STREET between COLUMBUS AVENUE and AMSTERDAM AVENUE,  AMSTERDAM AVENUE between WEST   79 STREET and WEST   82 STREET,  WEST   81 STREET between COLUMBUS AVENUE and AMSTERDAM AVENUE,  WEST   81 STREET between COLUMBUS AVENUE and AMSTERDAM AVENUE,  AMSTERDAM AVENUE between WEST   80 STREET and WEST   82 STREET,  WEST   82 STREET between AMSTERDAM AVENUE and BROADWAY",Manhattan,7,20,Television,Episodic series,United States of America,10024
456464,Shooting Permit,12/15/2018 04:00:00 PM,12/16/2018 07:00:00 AM,12/14/2018 01:23:22 PM,"Mayor's Office of Film, Theatre & Broadcasting","10 AVENUE between WEST   14 STREET and WEST   15 STREET,  WEST   15 STREET between 10 AVENUE and 11 AVENUE,  WEST   17 STREET between 9 AVENUE and 10 AVENUE,  WASHINGTON STREET between WEST   13 STREET and LITTLE WEST   12 STREET,  LITTLE WEST   12 STREET between WASHINGTON STREET and 9 AVENUE",Manhattan,"2, 4","10, 6",Television,Episodic series,United States of America,"10011, 10014"
456463,Shooting Permit,12/18/2018 06:00:00 AM,12/18/2018 09:00:00 PM,12/14/2018 01:11:05 PM,"Mayor's Office of Film, Theatre & Broadcasting","24 AVENUE between 29 STREET and 31 STREET,  24 AVENUE between 28 STREET and 29 STREET,  29 STREET between HOYT AVENUE NORTH and 24 AVENUE,  29 STREET between 23 AVENUE and 24 AVENUE,  46 STREET between 20 AVENUE and 21 AVENUE,  20 ROAD between 45 STREET and 46 STREET,  46 STREET between 20 AVENUE and 19 AVENUE,  20 AVENUE between 43 STREET and 45 STREET,  20 AVENUE between 45 STREET and 46 STREET,  20 AVENUE between 46 STREET and 47 STREET,  20 AVENUE between 45 STREET and 46 STREET,  20 AVENUE between 46 STREET and 47 STREET,  29 STREET between 23 AVENUE and 23 ROAD,  21 AVENUE between 45 STREET and 46 STREET",Queens,1,114,Television,Cable-episodic,United States of America,"11102, 11105"
456458,Shooting Permit,12/17/2018 07:00:00 AM,12/17/2018 03:30:00 PM,12/14/2018 12:55:10 PM,"Mayor's Office of Film, Theatre & Broadcasting","CENTRAL AVENUE between WILLOUGHBY AVENUE and HART STREET,  SUYDAM STREET between CENTRAL AVENUE and WILSON AVENUE",Brooklyn,4,83,Television,Episodic series,United States of America,11221
456455,Shooting Permit,12/20/2018 10:00:00 AM,12/21/2018 12:00:00 AM,12/14/2018 12:38:31 PM,"Mayor's Office of Film, Theatre & Broadcasting","KINGSLAND AVENUE between NORMAN AVENUE and GREENPOINT AVENUE,  NORMAN AVENUE between KINGSLAND AVENUE and HAUSMAN STREET",Brooklyn,1,94,Television,Episodic series,United States of America,11222
456453,Shooting Permit,12/15/2018 10:00:00 PM,12/16/2018 03:00:00 AM,12/14/2018 12:27:24 PM,"Mayor's Office of Film, Theatre & Broadcasting","ESSEX STREET between RIVINGTON STREET and STANTON STREET,  ESSEX STREET between RIVINGTON STREET and STANTON STREET,  ELDRIDGE STREET between RIVINGTON STREET and DELANCEY STREET",Manhattan,3,"5, 7",Film,Feature,United States of America,10002
456452,Shooting Permit,12/19/2018 11:00:00 AM,12/20/2018 02:00:00 AM,12/14/2018 12:23:00 PM,"Mayor's Office of Film, Theatre & Broadcasting","GRAND AVENUE between 69 STREET and 69 PLACE,  69 STREET between HULL AVENUE and GRAND AVENUE,  69 PLACE between HULL AVENUE and GRAND AVENUE,  GRAND AVENUE between 72 STREET and 72 PLACE,  57 AVENUE between 74 STREET and 80 STREET",Queens,"4, 5","104, 110",Television,Episodic series,United States of America,"11373, 11378"
456448,Shooting Permit,12/19/2018 09:00:00 AM,12/19/2018 10:00:00 PM,12/14/2018 11:59:21 AM,"Mayor's Office of Film, Theatre & Broadcasting","SOUTH    5 STREET between KENT AVENUE and BEDFORD AVENUE,  DUNHAM PLACE between BROADWAY and SOUTH    6 STREET,  DUNHAM PLACE between BROADWAY and SOUTH    6 STREET,  SOUTH    6 STREET between WYTHE AVENUE and BERRY STREET,  WYTHE AVENUE between SOUTH    6 STREET and BROADWAY,  KENT AVENUE between SOUTH    6 STREET and BROADWAY,  KENT AVENUE between SOUTH    6 STREET and BROADWAY,  KENT AVE between SOUTH    5 STREET and SOUTH    6 STREET,  BROADWAY between KENT AVENUE and WYTHE AVENUE,  BROADWAY between WYTHE AVENUE and BERRY STREET,  SOUTH    6 STREET between WYTHE AVENUE and DUNHAM PLACE,  SOUTH    6 STREET between KENT AVENUE and DUNHAM PLACE",Brooklyn,1,90,Television,Episodic series,United States of America,"11211, 11249"
456446,Shooting Permit,12/18/2018 11:00:00 AM,12/19/2018 02:00:00 AM,12/14/2018 11:48:43 AM,"Mayor's Office of Film, Theatre & Broadcasting","METROPOLITAN AVENUE between 78 STREET and 75 STREET,  75 STREET between METROPOLITAN AVENUE and 67 ROAD,  78 STREET between METROPOLITAN AVENUE and 66 DRIVE,  80 STREET between 67 ROAD and METROPOLITAN AVENUE,  METROPOLITAN AVENUE between 80 STREET and 79 STREET",Queens,5,104,Television,Episodic series,United States of America,11379
456417,Shooting Permit,12/15/2018 05:00:00 AM,12/15/2018 11:00:00 AM,12/14/2018 09:45:29 AM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,"10036, 10105"
456415,Shooting Permit,12/15/2018 05:00:00 AM,12/15/2018 11:00:00 AM,12/14/2018 09:41:57 AM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   47 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,10036
456408,Shooting Permit,12/21/2018 10:00:00 AM,12/22/2018 02:00:00 AM,12/14/2018 09:25:45 AM,"Mayor's Office of Film, Theatre & Broadcasting","DEGRAW STREET between BOND STREET and NEVINS STREET,  DEGRAW STREET between NEVINS STREET and 3 AVENUE,  SACKETT STREET between NEVINS STREET and 3 AVENUE,  NEVINS STREET between DEGRAW STREET and SACKETT STREET,  NEVINS STREET between SACKETT STREET and UNION STREET,  DEGRAW STREET between BOND STREET and NEVINS STREET,  BOND STREET between DOUGLASS STREET and DEGRAW STREET",Brooklyn,6,"76, 78",Television,Episodic series,United States of America,11217
456392,Shooting Permit,12/17/2018 06:00:00 AM,12/17/2018 09:00:00 PM,12/13/2018 09:20:38 PM,"Mayor's Office of Film, Theatre & Broadcasting","GATES AVENUE between ST NICHOLAS AVENUE and WYCKOFF AVENUE,  WYCKOFF AVENUE between GATES AVENUE and GROVE STREET,  ST NICHOLAS AVE between WOODBINE ST and PALMETTO ST",Brooklyn,"4, 5","104, 83",Commercial,Commercial,United States of America,"11237, 11385"
456391,Shooting Permit,12/16/2018 06:00:00 AM,12/16/2018 09:00:00 PM,12/13/2018 09:19:31 PM,"Mayor's Office of Film, Theatre & Broadcasting","GATES AVENUE between ST NICHOLAS AVENUE and WYCKOFF AVENUE,  WYCKOFF AVENUE between GATES AVENUE and LINDEN STREET,  ST. NICHOLAS AVE between PALMETTO ST and GATES AVE",Brooklyn,"4, 5","104, 83",Commercial,Commercial,United States of America,"11237, 11385"
456390,Shooting Permit,12/15/2018 06:00:00 AM,12/15/2018 09:00:00 PM,12/13/2018 09:15:30 PM,"Mayor's Office of Film, Theatre & Broadcasting","GATES AVENUE between ST NICHOLAS AVENUE and WYCKOFF AVENUE,  WYCKOFF AVENUE between GATES AVENUE and LINDEN STREET,  ST. NICHOLAS AVE between PALMETTO ST and GATES AVE",Brooklyn,"4, 5","104, 83",Commercial,Commercial,United States of America,"11237, 11385"
456380,Shooting Permit,12/23/2018 03:00:00 PM,12/23/2018 11:59:00 PM,12/13/2018 05:08:16 PM,"Mayor's Office of Film, Theatre & Broadcasting",DWIGHT STREET between BEARD STREET and VAN DYKE STREET,Brooklyn,6,76,Film,Short,United States of America,11231
456379,Shooting Permit,12/22/2018 08:00:00 AM,12/22/2018 08:00:00 PM,12/13/2018 04:51:15 PM,"Mayor's Office of Film, Theatre & Broadcasting",QUEENS BOULEVARD between 42 STREET and 43 STREET,Queens,2,108,Film,Short,United States of America,11104
456367,Shooting Permit,12/18/2018 07:00:00 AM,12/18/2018 09:00:00 PM,12/13/2018 04:19:10 PM,"Mayor's Office of Film, Theatre & Broadcasting","WEST STREET between FREEMAN STREET and EAGLE STREET,  EAGLE STREET between WEST STREET and FRANKLIN STREET,  GREENPOINT AVENUE between GALE AVENUE and BRADLEY AVENUE,  REVIEW AVE between 37 STREET and LAUREL HILL BOULEVARD",Brooklyn,"1, 2","108, 94",Television,Episodic series,United States of America,"11101, 11222"
456366,Shooting Permit,12/14/2018 12:00:00 PM,12/15/2018 03:00:00 AM,12/13/2018 04:17:54 PM,"Mayor's Office of Film, Theatre & Broadcasting","EAST   12 STREET between 5 AVENUE and UNIVERSITY PLACE,  5 AVENUE between EAST   11 STREET and EAST   12 STREET",Manhattan,2,6,Television,Variety,United States of America,"10003, 10011"
456362,Shooting Permit,12/17/2018 06:00:00 AM,12/17/2018 09:00:00 PM,12/13/2018 04:02:24 PM,"Mayor's Office of Film, Theatre & Broadcasting","FORSYTH STREET between DELANCEY STREET and GRAND STREET,  FORSYTH STREET between GRAND STREET and HESTER STREET,  FORSYTH STREET between GRAND STREET and HESTER STREET,  DELANCEY STREET between ELDRIDGE STREET and FORSYTH STREET,  GRAND STREET between FORSYTH STREET and CHRYSTIE STREET,  GRAND STREET between ALLEN STREET and ELDRIDGE STREET,  BROOME STREET between FORSYTH STREET and ELDRIDGE STREET,  ELDRIDGE STREET between BROOME STREET and GRAND STREET,  ELDRIDGE STREET between BROOME STREET and GRAND STREET",Manhattan,3,5,Television,Episodic series,United States of America,10002
456361,Shooting Permit,12/14/2018 08:00:00 AM,12/14/2018 05:00:00 PM,12/13/2018 04:02:08 PM,"Mayor's Office of Film, Theatre & Broadcasting",Eldert Street between WYCKOFF AVENUE and Dead End,Brooklyn,4,83,Television,Episodic series,United States of America,11237
456360,Shooting Permit,12/18/2018 07:00:00 AM,12/18/2018 08:00:00 PM,12/13/2018 04:01:24 PM,"Mayor's Office of Film, Theatre & Broadcasting","DELANCEY STREET between FORSYTH STREET and ELDRIDGE STREET,  BROOME STREET between FORSYTH STREET and ELDRIDGE STREET,  FORSYTH STREET between DELANCEY STREET and GRAND STREET,  FORSYTH STREET between GRAND STREET and HESTER STREET,  GRAND STREET between FORSYTH STREET and CHRYSTIE STREET",Manhattan,3,5,Television,Episodic series,United States of America,10002
